ID;Cursos;Tipo;Turmas;SEG;TER;QUA;QUI;SEX;SAB
1;Ciência da Computação;Bacharelado;BCC1,BCC3,BCC5,BCC7;13-16;13-16;13-16;13-16;13-16;1-16
2;Tec. Informática;Técnico;TI1,TI2,TI3,TI4;1-12;1-13;1-14;1-15;1-16;1-16
